FIPS,lat,lon,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,shelter_count_nearby,shelter_capacity_nearby,hospital_count_nearby,hospital_beds_nearby,school_count_nearby,school_capacity_nearby,node_type
12031010203,30.44471580952658,-81.60623578851414,0.6337,0.7586,0.4858,0.5264,0.4686,43,0.0,11,0.0,165,0.0,grid
12031010204,30.476662989708267,-81.61777555912477,0.5235,0.7617,0.5187,0.4866,0.1856,27,0.0,6,0.0,137,0.0,grid
12031010301,30.51878508032132,-81.67964371111938,0.6304,0.4562,0.4499,0.6167,0.8264,16,0.0,5,0.0,79,0.0,grid
12031010305,30.449688487263924,-81.68618956978031,0.7499,0.5521,0.8351,0.8693,0.7237,21,0.0,10,0.0,153,0.0,grid
12031010306,30.43446353770521,-81.6837316069391,0.7252,0.6878,0.7535,0.7474,0.5789,20,0.0,11,0.0,170,0.0,grid
12031010307,30.445872138372945,-81.64948066851827,0.6994,0.6491,0.2996,0.8632,0.783,31,0.0,11,0.0,163,0.0,grid
12031010308,30.444500015346208,-81.66479505709607,0.5505,0.5556,0.3067,0.9319,0.4844,20,0.0,11,0.0,160,0.0,grid
12031010401,30.423734675623635,-81.68393398699835,0.6554,0.7627,0.3708,0.7589,0.4866,20,0.0,12,0.0,177,0.0,grid
12031010402,30.41415096448409,-81.65987088361989,0.8258,0.7061,0.9314,0.6728,0.7302,32,0.0,15,0.0,188,0.0,grid
12031010501,30.47395134670478,-81.76076974144546,0.4477,0.3093,0.2533,0.8093,0.6203,9,0.0,7,0.0,105,0.0,grid
12031010502,30.438442508715983,-81.77578752899811,0.2446,0.4588,0.0882,0.7024,0.1361,10,0.0,7,0.0,126,0.0,grid
12031010503,30.43241769992516,-81.71231231279248,0.8864,0.7523,0.9191,0.8219,0.8448,21,0.0,10,0.0,165,0.0,grid
12031010601,30.377755069991302,-81.79574289066441,0.1424,0.2576,0.2391,0.5398,0.0694,21,0.0,7,0.0,150,0.0,grid
12031010602,30.392356383835775,-81.86097902045026,0.386,0.3268,0.7004,0.2593,0.3604,9,0.0,6,0.0,111,0.0,grid
12031010700,30.396617123830847,-81.73587062736817,0.5045,0.6446,0.1262,0.9264,0.3815,23,0.0,13,0.0,187,0.0,grid
12031010800,30.41004599276292,-81.72367344687542,0.8933,0.8361,0.8531,0.9104,0.8016,23,0.0,12,0.0,184,0.0,grid
12031010900,30.40413225235439,-81.71125385369325,0.8144,0.5688,0.9882,0.9289,0.6189,23,0.0,13,0.0,191,0.0,grid
12031011000,30.40857206465127,-81.68587482895212,0.7282,0.8237,0.3783,0.814,0.5949,20,0.0,15,0.0,190,0.0,grid
12031011100,30.393879364086956,-81.67104161616206,0.8274,0.971,0.3083,0.8366,0.6057,32,0.0,16,0.0,200,0.0,grid
12031011200,30.39080726688909,-81.69130918638166,0.8746,0.8515,0.9657,0.9144,0.5383,23,0.0,16,0.0,198,0.0,grid
12031011300,30.39077413769848,-81.70603579212565,0.8487,0.8901,0.6554,0.9293,0.6499,23,0.0,16,0.0,196,0.0,grid
12031011400,30.379862742833286,-81.71465330811216,0.9006,0.8917,0.9604,0.9837,0.5602,23,0.0,17,0.0,194,0.0,grid
12031011500,30.377526108399326,-81.68696784274233,0.9848,0.9402,0.9373,0.9364,0.9684,28,0.0,17,0.0,204,0.0,grid
12031011600,30.36936127714059,-81.71214781961318,0.7625,0.8229,0.7359,0.9953,0.4061,23,0.0,17,0.0,197,0.0,grid
12031011700,30.35752613410776,-81.76798515129263,0.6327,0.6726,0.6349,0.5126,0.4992,24,0.0,14,0.0,181,0.0,grid
12031011800,30.338594511233953,-81.7420326593676,0.8949,0.9189,0.7931,0.6197,0.8099,28,0.0,18,0.0,218,0.0,grid
12031011901,30.326197902357162,-81.80773869488601,0.6146,0.3953,0.6675,0.5392,0.7897,25,0.0,12,0.0,174,0.0,grid
12031011903,30.307325426706193,-81.81308307186839,0.5698,0.4256,0.6694,0.5974,0.615,28,0.0,12,0.0,188,0.0,grid
12031011904,30.29096938417868,-81.82860011259771,0.015,0.0152,0.2367,0.6687,0.0053,29,0.0,10,0.0,178,0.0,grid
