facility_id,facility_type,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
hospital_241,hospital,0.5339,0.3462,0.8219,0.5205,0.5475
hospital_242,hospital,0.1945,0.6718,0.2207,0.3988,0.3079
hospital_243,hospital,0.7235,0.0884,0.7715,0.7442,0.6396
hospital_244,hospital,0.1568,0.0292,0.5293,0.4637,0.1548
hospital_245,hospital,0.5495,0.56,0.5476,0.5696,0.5692
hospital_246,hospital,0.9065,0.9118,0.7856,0.9276,0.9568
hospital_247,hospital,0.5748,0.7708,0.6543,0.9211,0.803
hospital_248,hospital,0.7363,0.9757,0.8972,0.2799,0.7564
hospital_249,hospital,0.3682,0.5207,0.423,0.5469,0.4544
hospital_250,hospital,0.9365,0.754,0.8043,0.898,0.9361
hospital_251,hospital,0.1116,0.4475,0.2266,0.2314,0.1556
hospital_252,hospital,0.8542,0.9548,0.5488,0.9071,0.9276
hospital_253,hospital,0.2292,0.2268,0.3106,0.672,0.3393
hospital_254,hospital,0.7544,0.8903,0.5598,0.9763,0.9136
hospital_255,hospital,0.0,0.0,0.0,0.0,0.0
hospital_256,hospital,0.943,0.9097,0.8953,0.8647,0.96
hospital_257,hospital,0.4718,0.7181,0.437,0.8365,0.6765
hospital_258,hospital,0.53,0.542,0.3626,0.8458,0.6592
hospital_259,hospital,0.3761,0.5611,0.411,0.4923,0.445
hospital_260,hospital,0.2337,0.4004,0.7498,0.3004,0.3093
hospital_261,hospital,0.873,0.7899,0.7014,0.8142,0.8834
hospital_262,hospital,0.2767,0.4055,0.6012,0.1613,0.2519
hospital_263,hospital,0.9868,0.7809,0.8705,0.928,0.9753
hospital_264,hospital,0.2091,0.4598,0.5445,0.5882,0.3963
hospital_265,hospital,0.943,0.9097,0.8953,0.8647,0.96
hospital_266,hospital,0.1132,0.3446,0.3165,0.0925,0.0955
hospital_267,hospital,0.0659,0.5193,0.3177,0.3209,0.1822
hospital_268,hospital,0.943,0.9097,0.8953,0.8647,0.96
hospital_269,hospital,0.2091,0.4598,0.5445,0.5882,0.3963
hospital_270,hospital,0.7688,0.1659,0.1449,0.2643,0.4207
hospital_271,hospital,0.7187,0.9917,0.5707,0.6909,0.8572
hospital_272,hospital,0.1387,0.2128,0.3469,0.5854,0.2552
hospital_273,hospital,0.1992,0.4836,0.6228,0.5477,0.3899
hospital_274,hospital,0.1992,0.4836,0.6228,0.5477,0.3899
hospital_275,hospital,0.2621,0.5432,0.4795,0.3588,0.3495
hospital_276,hospital,0.6314,0.6757,0.3512,0.9882,0.8298
hospital_277,hospital,0.1018,0.4546,0.1638,0.0108,0.0365
hospital_278,hospital,0.7408,0.8045,0.2967,0.868,0.8114
hospital_279,hospital,0.3075,0.289,0.0756,0.5791,0.3254
hospital_280,hospital,0.5783,0.8576,0.4333,0.9416,0.8124
hospital_281,hospital,0.788,0.7375,0.3238,0.8817,0.8262
hospital_282,hospital,0.6493,0.7398,0.2407,0.3012,0.5254
hospital_283,hospital,0.3781,0.6176,0.3709,0.2245,0.3572
hospital_284,hospital,0.4448,0.6406,0.1039,0.9852,0.7085
hospital_285,hospital,0.2515,0.3197,0.2333,0.5797,0.3284
hospital_286,hospital,0.7422,0.0501,0.403,0.825,0.6036
hospital_287,hospital,0.2909,0.56,0.3091,0.7501,0.4886
hospital_288,hospital,0.6181,0.5132,0.1762,0.9878,0.769
hospital_289,hospital,0.5643,0.4771,0.0447,0.957,0.6821
hospital_290,hospital,0.3744,0.8464,0.1201,0.7456,0.573
hospital_291,hospital,0.5529,0.8018,0.3657,0.8903,0.7456
hospital_292,hospital,0.6181,0.5132,0.1762,0.9878,0.769
hospital_293,hospital,0.5458,0.4848,0.1943,0.7529,0.5795
hospital_294,hospital,0.5637,0.0584,0.4193,0.8619,0.5367
hospital_295,hospital,0.9034,0.8781,0.5998,0.9771,0.9588
hospital_296,hospital,0.6497,0.5935,0.4795,0.6974,0.6777
hospital_297,hospital,0.5848,0.3379,0.7187,0.9558,0.7507
hospital_298,hospital,0.5637,0.0584,0.4193,0.8619,0.5367
hospital_299,hospital,0.2308,0.2968,0.0862,0.9069,0.4381
hospital_300,hospital,0.8554,0.5679,0.688,0.6379,0.7822
hospital_301,hospital,0.7116,0.2779,0.6063,0.1341,0.4256
hospital_302,hospital,0.9347,0.9811,0.635,0.7945,0.9481
hospital_303,hospital,0.7536,0.4544,0.4016,0.6195,0.6621
hospital_304,hospital,0.4298,0.3655,0.4736,0.5128,0.4412
hospital_305,hospital,0.7016,0.9361,0.7565,0.6396,0.8107
hospital_306,hospital,0.7931,0.6645,0.3329,0.886,0.8176
hospital_307,hospital,0.2505,0.0868,0.137,0.2365,0.1233
hospital_308,hospital,0.4067,0.6272,0.5177,0.8868,0.6631
hospital_309,hospital,0.5759,0.0911,0.5392,0.7819,0.5406
hospital_310,hospital,0.4077,0.2097,0.5333,0.485,0.3923
hospital_311,hospital,0.931,0.9819,0.9248,0.8262,0.9688
hospital_312,hospital,0.4077,0.2097,0.5333,0.485,0.3923
hospital_313,hospital,0.9639,0.886,0.8104,0.7807,0.9426
hospital_314,hospital,0.8387,0.8442,0.649,0.9552,0.9221
hospital_315,hospital,0.1574,0.5864,0.31,0.3051,0.2479
hospital_316,hospital,0.5428,0.8252,0.4333,0.3323,0.54
hospital_317,hospital,0.8325,0.8369,0.462,0.8994,0.8821
hospital_318,hospital,0.2051,0.3101,0.2096,0.1619,0.1465
hospital_319,hospital,0.345,0.431,0.0301,0.7531,0.4408
hospital_320,hospital,0.3316,0.2306,0.2026,0.6385,0.3682
hospital_321,hospital,0.1994,0.3992,0.0965,0.8649,0.4229
hospital_322,hospital,0.4176,0.3345,0.4254,0.0566,0.2043
hospital_323,hospital,0.1456,0.2578,0.0335,0.3081,0.1377
hospital_324,hospital,0.0116,0.0738,0.1583,0.0475,0.0065
hospital_325,hospital,0.0116,0.0738,0.1583,0.0475,0.0065
hospital_326,hospital,0.1779,0.068,0.1762,0.3314,0.1183
hospital_327,hospital,0.544,0.7976,0.6783,0.4878,0.63
hospital_328,hospital,0.6055,0.3412,0.6608,0.3024,0.4775
hospital_329,hospital,0.3201,0.5531,0.4892,0.1542,0.2842
hospital_330,hospital,0.9475,0.8801,0.8354,0.771,0.9314
hospital_331,hospital,0.0767,0.1925,0.0285,0.1014,0.0442
hospital_332,hospital,0.0227,0.3032,0.0185,0.1702,0.0535
hospital_333,hospital,0.3006,0.2629,0.6368,0.6252,0.4205
hospital_334,hospital,0.5069,0.6201,0.2813,0.6195,0.5525
hospital_335,hospital,0.3769,0.5114,0.1163,0.5239,0.4051
hospital_336,hospital,0.6148,0.6673,0.4461,0.972,0.8105
hospital_337,hospital,0.3661,0.6771,0.165,0.8909,0.6053
hospital_338,hospital,0.8112,0.9684,0.8722,0.2821,0.786
hospital_339,hospital,0.6298,0.3164,0.1569,0.2955,0.4053
hospital_340,hospital,0.2716,0.4071,0.3896,0.9172,0.5398
hospital_341,hospital,0.7404,0.8282,0.3679,0.8846,0.831
hospital_342,hospital,0.7714,0.9663,0.6303,0.9028,0.9152
hospital_343,hospital,0.6351,0.7436,0.0591,0.6637,0.6323
hospital_344,hospital,0.2716,0.4071,0.3896,0.9172,0.5398
hospital_345,hospital,0.7712,0.974,0.8087,0.657,0.8673
hospital_346,hospital,0.2146,0.0736,0.1762,0.8625,0.3345
hospital_347,hospital,0.732,0.0085,0.7455,0.6846,0.4882
hospital_348,hospital,0.5061,0.2276,0.1055,0.973,0.6203
hospital_349,hospital,0.3795,0.3716,0.2096,0.6485,0.432
hospital_350,hospital,0.9012,0.8815,0.3697,0.6225,0.8351
school_0,school,0.3637,0.0974,0.274,0.3219,0.2241
school_1,school,0.5345,0.6215,0.165,0.7087,0.583
school_2,school,0.3245,0.6458,0.7319,0.6008,0.5296
school_3,school,0.3245,0.6458,0.7319,0.6008,0.5296
school_4,school,0.7079,0.8298,0.2159,0.085,0.4673
school_5,school,0.0986,0.2079,0.3583,0.6014,0.2333
school_6,school,0.0986,0.2079,0.3583,0.6014,0.2333
school_7,school,0.173,0.1404,0.337,0.6708,0.2769
school_8,school,0.071,0.0282,0.4429,0.3462,0.0801
school_9,school,0.0574,0.5521,0.3959,0.5821,0.2783
school_10,school,0.3385,0.369,0.462,0.9207,0.5807
school_11,school,0.0454,0.2302,0.3348,0.2767,0.103
school_12,school,0.6217,0.8306,0.6124,0.8108,0.7781
school_13,school,0.4671,0.4456,0.2226,0.2016,0.3185
school_14,school,0.2923,0.0799,0.31,0.3112,0.1799
school_15,school,0.5195,0.8915,0.4961,0.8193,0.74
school_16,school,0.1162,0.2371,0.3051,0.2394,0.1292
school_17,school,0.76,0.1343,0.1185,0.4465,0.4665
school_18,school,0.4673,0.0909,0.2238,0.5398,0.3477
school_19,school,0.0574,0.5521,0.3959,0.5821,0.2783
school_20,school,0.1893,0.3172,0.4333,0.4075,0.2588
school_21,school,0.6209,0.2073,0.4132,0.4406,0.4596
school_22,school,0.7402,0.929,0.7565,0.8195,0.8716
school_23,school,0.5118,0.3832,0.5423,0.8684,0.6544
school_24,school,0.5195,0.8915,0.4961,0.8193,0.74
school_25,school,0.0179,0.0992,0.3742,0.1298,0.0323
school_26,school,0.0574,0.5521,0.3959,0.5821,0.2783
school_27,school,0.703,0.2876,0.6445,0.9899,0.8278
school_28,school,0.173,0.1404,0.337,0.6708,0.2769
school_29,school,0.2923,0.0799,0.31,0.3112,0.1799
school_30,school,0.1893,0.3172,0.4333,0.4075,0.2588
school_31,school,0.6217,0.8306,0.6124,0.8108,0.7781
school_32,school,0.4671,0.4456,0.2226,0.2016,0.3185
school_33,school,0.0179,0.0992,0.3742,0.1298,0.0323
school_34,school,0.488,0.3051,0.5136,0.4241,0.4292
school_35,school,0.4671,0.4456,0.2226,0.2016,0.3185
school_36,school,0.5085,0.687,0.2955,0.6276,0.5759
school_37,school,0.5085,0.687,0.2955,0.6276,0.5759
school_38,school,0.7247,0.5966,0.5707,0.6193,0.6978
school_39,school,0.8915,0.7584,0.403,0.671,0.8166
school_40,school,0.8915,0.7584,0.403,0.671,0.8166
school_41,school,0.3667,0.8536,0.337,0.5018,0.5112
school_42,school,0.3101,0.9375,0.3455,0.8093,0.6465
school_43,school,0.4751,0.1751,0.4203,0.7022,0.4807
school_44,school,0.1154,0.4663,0.2047,0.6036,0.2842
school_45,school,0.9609,0.9864,0.7474,0.8469,0.9759
school_46,school,0.9882,0.9856,0.6917,0.9897,0.9974
